wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
8,2,0,12,35,20,1,0,3,0.928571,245,1,2,0.769231,0.380952,0,0,29.125,1,0.75,buggy
39,3,1,10,194,575,2,0,3,0.883224,3271,1,3,0.393443,0.19195,2,5,82.461538,16,2.6154,buggy
31,4,0,14,176,311,2,0,2,0.968056,4485,1,1,0.677778,0.252778,4,8,142.903226,32,3.9032,buggy
12,3,0,4,119,40,4,0,3,0.833333,1190,0.666667,0,0.705882,0.246753,2,4,97.666667,1,0.8333,buggy
18,2,2,5,59,113,2,0,6,0.935829,499,0.545455,0,0.333333,0.228758,0,0,26.111111,15,1.8333,buggy
33,1,31,79,44,424,76,0,29,0.9125,392,1,5,0,0.222656,0,0,10.424242,6,1.2121,buggy
16,1,0,23,98,54,3,0,4,0.607018,1347,1,10,0,0.342857,0,0,82,16,3.125,buggy
57,1,0,42,187,0,1,0,2,0.688776,4114,1,6,0,0.224561,0,0,70.929825,22,1.7719,buggy
12,2,0,6,78,36,4,0,7,0.363636,663,1,0,0.765957,0.35,1,10,54.083333,12,3,buggy
22,1,1,9,83,225,7,0,19,0.880952,995,1,1,0,0.198413,1,1,44.136364,23,3.4091,buggy
21,1,0,12,95,124,5,0,14,0.858333,719,1,2,0,0.225,0,0,32.666667,12,1.9048,buggy
36,1,0,23,76,210,18,0,36,0.831169,1025,1,1,0,0.143519,0,0,27.166667,3,1.3889,buggy
9,1,0,17,53,30,2,0,3,0.958333,624,1,1,0,0.266667,0,0,67.666667,16,5.1111,buggy
10,1,0,26,128,23,1,0,3,0.888889,1066,0.833333,2,0,0.296296,0,0,105,22,4.1,buggy
51,1,0,40,207,999,4,0,38,0.907222,2594,1,9,0,0.092,0,0,49.156863,41,4.1373,buggy
80,2,0,28,231,2670,8,0,74,0.931171,2501,1,4,0.469388,0.108499,1,2,29.8625,5,1.325,buggy
43,2,1,22,123,481,7,0,33,0.871795,1262,1,2,0.62037,0.164021,1,6,28.046512,9,2.1628,buggy
53,1,0,33,113,1152,25,0,46,0.932692,1038,0.96875,7,0,0.13141,0,0,17.981132,18,1.7358,buggy
54,4,0,16,222,817,2,0,32,0.849057,3912,0.966667,2,0.616541,0.12938,2,10,70.888889,30,3.6296,buggy
44,1,0,26,166,428,9,0,2,0.88062,2361,1,7,0,0.141649,0,0,52.318182,11,2.0909,buggy
